epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,84.34296365330849,68.68309081780441,0,0,0.8835535570398733,85.3012048192771,68.35558702041219,0,0,0.8785496671770552
1,85.78751164958062,69.14004835032054,0,0,0.8853094000449255,85.58850787766451,68.72805581385062,0,0,0.8805497567550999
2,86.44920782851815,69.79707170719826,0,0,0.8886595242094579,85.61631139944392,69.51603550520369,0,0,0.8864470708927982
3,86.43056849953402,70.10282918521835,0,0,0.8914790768005003,86.18164967562558,70.4049624413273,0,0,0.888364349247259
4,86.30009319664491,70.04102310057092,0,0,0.8925818136361816,85.98702502316961,70.17011681403025,0,0,0.8896358033884519
5,86.16029822926374,70.57015358302561,0,0,0.8958856950598649,86.24652455977757,70.57437313438584,0,0,0.8900558007234454
6,86.32805219012116,70.8051592658015,0,0,0.8933471684758872,86.7006487488415,70.39556091944847,0,0,0.8896075219925411
7,86.02982292637465,70.2723412929814,0,0,0.8940637068176418,86.61723818350325,70.69181876433429,0,0,0.8906188129982675
8,85.99254426840633,70.67539793484707,0,0,0.8929737446115931,86.24652455977757,70.51713627806012,0,0,0.8894281301619504
9,85.85274930102517,70.16350813234554,0,0,0.8906726452149766,86.01482854494903,70.01317610229744,0,0,0.8895847103414962
10,85.71295433364399,70.36798779553722,0,0,0.8934623787046228,85.57924003707136,69.93202557699126,0,0,0.8913155866031144
11,85.955265610438,70.34102582713297,0,0,0.890923383663455,85.54216867469879,69.77304965592867,0,0,0.890137524186876
12,86.1323392357875,70.54892535826991,0,0,0.8934699026991908,86.24652455977757,70.37722831103964,0,0,0.8904788802366216
13,86.19757688723206,70.57129975338303,0,0,0.8951587584613643,86.3855421686747,70.8236935169539,0,0,0.8932566067744823
14,86.26281453867661,70.77404759389636,0,0,0.8973009838614752,86.7840593141798,70.67661864903002,0,0,0.8953697387928621
15,86.06710158434296,70.47665888460722,0,0,0.8930509874566221,86.00556070435589,70.00925093701026,0,0,0.8914048857237603
16,86.30009319664492,70.68387130658884,0,0,0.8922346630443501,86.58943466172381,70.40141970600197,0,0,0.8921765595437534
17,86.50512581547065,70.69880289255805,0,0,0.8923506368874585,86.14457831325302,70.46584946266503,0,0,0.8908056319340663
18,86.69151910531221,70.59668004815296,0,0,0.8948260822336234,86.4504170528267,70.61410293808328,0,0,0.8933671955365217
19,86.43056849953402,70.56921603254366,0,0,0.8935307415335701,86.34847080630213,70.81082636684285,0,0,0.892929093353958
20,86.25349487418453,69.96542150926066,0,0,0.8909751498237565,86.209453197405,70.05870958008623,0,0,0.8924453298718656
21,86.41192917054987,70.73309428069629,0,0,0.8943949665959915,86.62650602409639,70.27664062482854,0,0,0.8934745607551273
22,86.22553588070829,70.68305597285536,0,0,0.8952813909220328,87.02502316960148,70.27094180526736,0,0,0.8946653448696102
23,85.65703634669151,70.69937431420527,0,0,0.8962531704551511,86.30213160333642,70.87919028615514,0,0,0.8964292058611804
